genres,sentiment,count
"Action & Adventure, Classics, Musical & Performing Arts",1,1
"Action & Adventure, Classics, Musical & Performing Arts, Science Fiction & Fantasy",0,7
"Action & Adventure, Classics, Musical & Performing Arts, Science Fiction & Fantasy",1,2
"Action & Adventure, Classics, Mystery & Suspense",0,5
"Action & Adventure, Classics, Mystery & Suspense",1,143
"Action & Adventure, Classics, Mystery & Suspense, Romance",0,51
"Action & Adventure, Classics, Mystery & Suspense, Romance",1,84
"Action & Adventure, Classics, Mystery & Suspense, Science Fiction & Fantasy",0,8
"Action & Adventure, Classics, Mystery & Suspense, Science Fiction & Fantasy",1,20
"Action & Adventure, Classics, Mystery & Suspense, Special Interest",0,4
"Action & Adventure, Classics, Mystery & Suspense, Special Interest",1,3
"Action & Adventure, Classics, Romance",1,23
"Action & Adventure, Classics, Science Fiction & Fantasy",0,64
"Action & Adventure, Classics, Science Fiction & Fantasy",1,224
"Action & Adventure, Classics, Science Fiction & Fantasy, Western",0,1
"Action & Adventure, Classics, Science Fiction & Fantasy, Western",1,14
"Action & Adventure, Classics, Western",0,15
"Action & Adventure, Classics, Western",1,118
"Action & Adventure, Classics, Western, Romance",0,3
"Action & Adventure, Classics, Western, Romance",1,9
"Action & Adventure, Comedy",0,4373
"Action & Adventure, Comedy",1,4094
"Action & Adventure, Comedy, Cult Movies",0,9
"Action & Adventure, Comedy, Cult Movies",1,7
"Action & Adventure, Comedy, Cult Movies, Drama, Musical & Performing Arts",0,1
"Action & Adventure, Comedy, Cult Movies, Drama, Musical & Performing Arts",1,2
"Action & Adventure, Comedy, Cult Movies, Mystery & Suspense",0,5
"Action & Adventure, Comedy, Cult Movies, Mystery & Suspense",1,11
"Action & Adventure, Comedy, Cult Movies, Western",0,4
"Action & Adventure, Comedy, Cult Movies, Western",1,3
"Action & Adventure, Comedy, Documentary",0,33
"Action & Adventure, Comedy, Documentary",1,55
"Action & Adventure, Comedy, Documentary, Musical & Performing Arts",0,71
"Action & Adventure, Comedy, Documentary, Musical & Performing Arts",1,13
"Action & Adventure, Comedy, Documentary, Sports & Fitness",0,8
"Action & Adventure, Comedy, Documentary, Sports & Fitness",1,1
"Action & Adventure, Comedy, Drama",0,1621
"Action & Adventure, Comedy, Drama",1,2173
"Action & Adventure, Comedy, Drama, Horror",0,16
"Action & Adventure, Comedy, Drama, Horror",1,132
"Action & Adventure, Comedy, Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy, Romance",0,33
"Action & Adventure, Comedy, Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy, Romance",1,6
"Action & Adventure, Comedy, Drama, Kids & Family",0,93
"Action & Adventure, Comedy, Drama, Kids & Family",1,54
"Action & Adventure, Comedy, Drama, Kids & Family, Mystery & Suspense",0,9
"Action & Adventure, Comedy, Drama, Kids & Family, Mystery & Suspense",1,4
"Action & Adventure, Comedy, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",0,27
"Action & Adventure, Comedy, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",1,16
"Action & Adventure, Comedy, Drama, Kids & Family, Science Fiction & Fantasy",0,59
"Action & Adventure, Comedy, Drama, Kids & Family, Science Fiction & Fantasy",1,57
"Action & Adventure, Comedy, Drama, Musical & Performing Arts",0,3
"Action & Adventure, Comedy, Drama, Musical & Performing Arts",1,4
"Action & Adventure, Comedy, Drama, Musical & Performing Arts, Romance",0,10
"Action & Adventure, Comedy, Drama, Musical & Performing Arts, Romance",1,1
"Action & Adventure, Comedy, Drama, Musical & Performing Arts, Romance, Gay & Lesbian",0,4
"Action & Adventure, Comedy, Drama, Musical & Performing Arts, Romance, Gay & Lesbian",1,10
"Action & Adventure, Comedy, Drama, Mystery & Suspense",0,315
"Action & Adventure, Comedy, Drama, Mystery & Suspense",1,499
"Action & Adventure, Comedy, Drama, Mystery & Suspense, Romance",0,4
"Action & Adventure, Comedy, Drama, Mystery & Suspense, Romance",1,54
"Action & Adventure, Comedy, Drama, Mystery & Suspense, Western",0,4
"Action & Adventure, Comedy, Drama, Mystery & Suspense, Western",1,1
"Action & Adventure, Comedy, Drama, Romance",0,246
"Action & Adventure, Comedy, Drama, Romance",1,251
"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",0,71
"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",1,177
"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy, Romance",1,16
"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy, Television",0,2
"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy, Television",1,1
"Action & Adventure, Comedy, Drama, Western",0,2
