genres,sentiment,count
"Action & Adventure, Art House & International, Cult Movies, Drama",Positive,3
"Action & Adventure, Art House & International, Cult Movies, Science Fiction & Fantasy",Negative,1
"Action & Adventure, Art House & International, Cult Movies, Science Fiction & Fantasy",Neutral,1
"Action & Adventure, Art House & International, Cult Movies, Science Fiction & Fantasy",Positive,4
"Action & Adventure, Art House & International, Documentary, Drama, Science Fiction & Fantasy, Special Interest",Negative,13
"Action & Adventure, Art House & International, Documentary, Drama, Science Fiction & Fantasy, Special Interest",Neutral,6
"Action & Adventure, Art House & International, Documentary, Drama, Science Fiction & Fantasy, Special Interest",Positive,19
"Action & Adventure, Art House & International, Documentary, Drama, Special Interest",Negative,5
"Action & Adventure, Art House & International, Documentary, Drama, Special Interest",Neutral,2
"Action & Adventure, Art House & International, Documentary, Drama, Special Interest",Positive,17
"Action & Adventure, Art House & International, Documentary, Horror",Negative,1
"Action & Adventure, Art House & International, Documentary, Horror",Positive,4
"Action & Adventure, Art House & International, Documentary, Special Interest",Negative,5
"Action & Adventure, Art House & International, Documentary, Special Interest",Neutral,4
"Action & Adventure, Art House & International, Documentary, Special Interest",Positive,6
"Action & Adventure, Art House & International, Documentary, Television",Neutral,6
"Action & Adventure, Art House & International, Documentary, Television",Positive,26
"Action & Adventure, Art House & International, Drama",Negative,1093
"Action & Adventure, Art House & International, Drama",Neutral,580
"Action & Adventure, Art House & International, Drama",Positive,2185
"Action & Adventure, Art House & International, Drama, Faith & Spirituality",Negative,1
"Action & Adventure, Art House & International, Drama, Faith & Spirituality",Positive,3
"Action & Adventure, Art House & International, Drama, Horror",Negative,11
"Action & Adventure, Art House & International, Drama, Horror",Neutral,3
"Action & Adventure, Art House & International, Drama, Horror",Positive,10
"Action & Adventure, Art House & International, Drama, Horror, Science Fiction & Fantasy",Negative,57
"Action & Adventure, Art House & International, Drama, Horror, Science Fiction & Fantasy",Neutral,22
"Action & Adventure, Art House & International, Drama, Horror, Science Fiction & Fantasy",Positive,83
"Action & Adventure, Art House & International, Drama, Kids & Family",Neutral,2
"Action & Adventure, Art House & International, Drama, Kids & Family",Positive,9
"Action & Adventure, Art House & International, Drama, Mystery & Suspense",Negative,454
"Action & Adventure, Art House & International, Drama, Mystery & Suspense",Neutral,224
"Action & Adventure, Art House & International, Drama, Mystery & Suspense",Positive,746
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Romance",Negative,36
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Romance",Neutral,39
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Romance",Positive,141
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy",Negative,9
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy",Neutral,7
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy",Positive,25
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy, Special Interest",Negative,16
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy, Special Interest",Neutral,9
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy, Special Interest",Positive,27
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Television",Negative,5
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Television",Neutral,2
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Television",Positive,3
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Western",Negative,32
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Western",Neutral,22
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Western",Positive,82
